title,author,rating,ratingnum,cuisine,preptime,cooktime,totaltime,servings,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,source,link,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Cinnamon Scones,Jill Beaverson,NA,NA,American,Prep Time 30 minutes mins,Cook Time 25 minutes mins,Total Time 55 minutes mins,8 scones,11,12,2 cups all-purpose flour plus more for hands and work surface,2 1/2 teaspoons baking powder,1 teaspoon ground cinnamon,1/2 teaspoon salt,1/2 cup unsalted butter frozen,1/2 cup heavy cream plus more for brushing,1/2 cup packed light brown sugar,1 large egg,1 1/2 teaspoons pure vanilla extract,1 cup confectioners’ sugar,3 tablespoons milk,Coarse sugar for topping,NA,Baked Bree,https://bakedbree.com/cinnamon-scones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Scones,Melissa Nicholson,NA,NA,American,Prep Time 20 minutes mins,Cook Time 25 minutes mins,Total Time 45 minutes mins,8 servings,8,11,2 cups all-purpose flour,2 1/2 teaspoons baking powder,1 teaspoon ground cinnamon,1 1/2 teaspoons pumpkin pie spice,1/2 teaspoon salt,1/2 cup unsalted butter frozen,1/3 cup heavy cream plus 2 tablespoons,1 large egg,1/2 cup canned pumpkin puree,1/2 cup light brown sugar,1 teaspoon vanilla extract,NA,NA,Baked Bree,https://bakedbree.com/pumpkin-scones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterscotch Cookies,Evan Smith,NA,NA,American,Prep Time 25 minutes mins,Cook Time 12 minutes mins,Total Time 2 hours hrs 37 minutes mins,42 cookies,8,9,2 3/4 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon salt,1 cup unsalted butter softened,1 cup packed brown sugar,1/2 cup granulated sugar,2 large eggs at room temperature,2 teaspoons vanilla extract,11 ounces butterscotch chips,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/butterscotch-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar Cookie Recipe,Diane Goodman,NA,NA,American,Prep Time 10 minutes mins,Cook Time 12 minutes mins,Total Time 22 minutes mins,10 cookies,9,8,2 1/4 cups all-purpose flour,1/2 teaspoon baking soda,1/2 teaspoon baking powder,1/4 teaspoon salt,1 1/2 cups granulated sugar divided,3/4 cup unsalted butter softened,1 large egg,2 teaspoons vanilla extract,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/sugar-cookie-recipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinnamon Cookies,Melissa Nicholson,NA,NA,American,Prep Time 25 minutes mins,Cook Time 11 minutes mins,Total Time 36 minutes mins,33 cookies,10,10,3/4 cup unsalted butter softened,1 cup granulated sugar,2 large eggs,2 teaspoons pure vanilla extract,3 1/2 cups all-purpose flour,1 teaspoon baking soda,3/4 teaspoon salt,1 1/2 teaspoons cream of tartar,1/3 cup granulated sugar for rolling,1 1/2 tablespoons ground cinnamon for rolling,NA,NA,NA,Baked Bree,https://bakedbree.com/cinnamon-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Brownies,Melissa Nicholson,NA,NA,American,Prep Time 20 minutes mins,Cook Time 30 minutes mins,Total Time 1 hour hr 50 minutes mins,9 servings,9,9,1 1/4 cups creamy peanut butter,10 tablespoons unsalted butter,4 ounces semi-sweet chocolate chopped,1 cup granulated sugar,2 large eggs plus 1 egg yolk,1 teaspoon vanilla extract,1/2 cup all-purpose flour,1/4 cup unsweetened cocoa powder sifted,1/4 teaspoon fine salt,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/peanut-butter-brownies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cocoa Powder Brownies,Michael Steliga,NA,NA,American,Prep Time 10 minutes mins,Cook Time 20 minutes mins,Total Time 30 minutes mins,16 brownies,8,8,1/2 cup unsalted butter melted,1 tablespoon cooking oil vegetable or canola oil,1 1/8 cup superfine sugar,2 large eggs,2 teaspoons vanilla extract,1/2 cup all-purpose flour,1/2 cup unsweetened cocoa powder,1/4 teaspoon salt,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/cocoa-powder-brownies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownies,Diane Goodman,NA,NA,American,Prep Time 10 minutes mins,Cook Time 20 minutes mins,Total Time 30 minutes mins,16 brownies,8,8,1/2 cup unsalted butter melted,1 tablespoon cooking oil olive or coconut oil,1 1/8 cup superfine sugar,2 large eggs,2 teaspoons vanilla extract,1/2 cup all-purpose flour,1/2 cup unsweetened cocoa powder,1/4 teaspoon salt,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/brownies-recipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nutella Brownies,Amy Golden,NA,NA,American,Prep Time 10 minutes mins,Cook Time 36 minutes mins,Total Time 46 minutes mins,12 servings,7,8,1/3 cup unsalted butter softened,1/2 cup packed light brown sugar,2 large eggs at room temperature,2 teaspoons vanilla extract,1 1/4 cups chocolate hazelnut spread divided,1/2 teaspoon salt,3/4 cup all-purpose flour,3/4 cup semi-sweet chocolate chips optional,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/nutella-brownies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Scones,Dori Rose,NA,NA,American,Prep Time 20 minutes mins,Cook Time 15 minutes mins,Total Time 35 minutes mins,8 servings,8,9,2 cups all-purpose flour,1/3 cup unsweetened cocoa powder,1/2 cup granulated sugar,1 tablespoon baking powder,1/2 teaspoon salt,1/2 cup unsalted butter very cold and cubed,3/4 cup heavy cream cold,1 teaspoon vanilla extract,3/4 cup semisweet chocolate chips,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/chocolate-scones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Cookies,Charlotte LaPointe,NA,NA,American,Prep Time 20 minutes mins,Cook Time 10 minutes mins,Total Time 4 hours hrs 30 minutes mins,24 cookies,8,11,3 cups all-purpose flour,1 teaspoon baking soda,1/4 teaspoon salt,1 tablespoon ground ginger,1 tablespoon ground cinnamon,1/2 teaspoon ground cloves,3/4 cup unsalted butter softened,1/2 cup packed brown sugar,1 large egg,1/2 cup molasses,1 teaspoon pure vanilla extract,NA,NA,Baked Bree,https://bakedbree.com/gingerbread-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingersnap Cookies,Michael Steliga,NA,NA,American,Prep Time 15 minutes mins,Cook Time 15 minutes mins,Total Time 30 minutes mins,28 cookies,7,11,1 1/2 sticks unsalted butter at cool room temperature,1 1/4 cups granulated sugar divided,1/4 cup lightly packed light brown sugar,1/3 cup unsulphured molasses,1 large egg,1/2 teaspoon fine salt,2 teaspoons baking soda,1 1/2 teaspoons ground ginger,1 teaspoon ground cinnamon,1/4 teaspoon ground cloves,2 1/4 cups all-purpose flour,NA,NA,Baked Bree,https://bakedbree.com/gingersnap-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginger Molasses Cookies,Amy Golden,NA,NA,American,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Total Time 25 minutes mins,24 cookies,8,11,1 1/2 cups unsalted butter softened,1 cup granulated sugar,1 cup packed brown sugar,1/2 cup molasses,2 large eggs,4 1/2 cups all-purpose flour,4 teaspoons baking soda,1 tablespoon ground ginger,2 teaspoons ground cinnamon,1 teaspoon ground cloves,1 teaspoon salt,NA,NA,Baked Bree,https://bakedbree.com/ginger-molasses-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten-Free Brownie Recipe,Melissa Nicholson,NA,NA,American,Prep Time 5 minutes mins,Cook Time 35 minutes mins,Total Time 40 minutes mins,16 servings,7,10,2 large eggs room temperature,3/4 cup granulated sugar,1 2/3 cups semi-sweet chocolate chips divided,3/4 cup neutral oil such as vegetable or canola,2 teaspoons vanilla extract,2 tablespoons milk any variety,1/2 cup plus 2 tablespoons gluten free all-purpose flour,2 tablespoons unsweetened cocoa powder,1/4 teaspoon salt,1/4 teaspoon baking powder,NA,NA,NA,Baked Bree,https://bakedbree.com/gluten-free-brownie-recipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cranberry Orange Cookies,Amy Golden,NA,NA,American,Prep Time 15 minutes mins,Cook Time 12 minutes mins,Total Time 27 minutes mins,24 cookies,9,10,1 cup unsalted butter softened,1 cup granulated sugar,1 large egg,2 1/4 cups all-purpose flour,1/2 teaspoon baking powder,1/4 teaspoon baking soda,1/4 teaspoon salt,1 tablespoon orange zest,2 tablespoons fresh orange juice,1 cup dried cranberries,NA,NA,NA,Baked Bree,https://bakedbree.com/cranberry-orange-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biscotti Recipe,Charlotte LaPointe,NA,NA,Italian,Prep Time 20 minutes mins,Cook Time 45 minutes mins,Total Time 1 hour hr 5 minutes mins,24 biscotti,9,8,2 cups all-purpose flour,1 teaspoon baking powder,1/4 teaspoon salt,3/4 cup granulated sugar,1/2 cup unsalted butter softened,2 large eggs,1 teaspoon pure vanilla extract,1 cup whole almonds toasted and coarsely chopped,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/biscotti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Scones,Evan Smith,NA,NA,American,Prep Time 20 minutes mins,Cook Time 18 minutes mins,Total Time 38 minutes mins,8 servings,11,9,2 cups all-purpose flour,1 tablespoon baking powder,3 tablespoons granulated sugar,1/2 teaspoon salt,6 tablespoons unsalted butter chilled and cubed,3/4 cup half-and-half,1 cup fresh strawberries diced,1 tablespoon turbinado sugar optional for topping,1 large egg beaten for egg wash,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/strawberry-scones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Cookie Frosting,Kathryn Funk,NA,NA,American,Prep Time 5 minutes mins,NA,Total Time 5 minutes mins,NA,5,5,3 cups confectioners’ sugar,1/2 teaspoon vanilla extract,2 teaspoons light corn syrup,4-5 tablespoons water room temperature,Pinch of salt,NA,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/gingerbread-cookie-frosting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Sugar Cookies,Amy Golden,NA,NA,American,Prep Time 20 minutes mins,Cook Time 12 minutes mins,Total Time 32 minutes mins,4 dozen,8,7,1 cup unsalted butter softened,1 cup granulated sugar,1/4 teaspoon salt,2 large egg yolks,2 teaspoons pure vanilla extract,2 cups all-purpose flour,1/2 cup peppermint candy crushed,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/peppermint-sugar-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Cookies,Diane Goodman,NA,NA,American,Prep Time 20 minutes mins,Cook Time 10 minutes mins,Total Time 30 minutes mins,40 cookies,6,7,1 cup unsalted butter softened,1 cup granulated sugar,1 large egg,1 teaspoon vanilla extract,3 cups all-purpose flour,1 tablespoon baking powder,1/4 teaspoon salt,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/christmas-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan Gingerbread Cookies,Evan Smith,NA,NA,vegan,Prep Time 1 hour hr 15 minutes mins,Cook Time 12 minutes mins,Total Time 1 hour hr 27 minutes mins,NA,8,15,1/2 cup vegan butter softened,3/4 cup dark brown sugar packed,3/4 cup unsulphured molasses,1 teaspoon vanilla extract,3 cups all-purpose flour,1 teaspoon baking powder,1/2 teaspoon baking soda,1 tablespoon ground ginger,1 teaspoon ground cinnamon,1/2 teaspoon ground nutmeg,1/4 teaspoon ground cloves,1/2 teaspoon salt,1 cup powdered sugar,Baked Bree,https://bakedbree.com/vegan-gingerbread-cookies,1/4 teaspoon vanilla extract,1 1/2 tablespoons unsweetened almond milk or as needed,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownie Cookies,Evan Smith,NA,NA,American,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Total Time 25 minutes mins,8 cookies,9,8,3.5 ounces dark chocolate chopped,4 tablespoons unsalted butter,1 tablespoon unsweetened cocoa powder,1 large egg room temperature,1/3 cup granulated sugar,1/4 cup brown sugar packed,1/2 cup all-purpose flour,1/4 teaspoon salt,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/brownie-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Cupcake Recipe,Diane Goodman,NA,NA,American,Prep Time 20 minutes mins,Cook Time 20 minutes mins,Total Time 40 minutes mins,NA,6,9,1 1/2 cups all-purpose flour,1 1/4 cups granulated sugar,1/4 cup unsweetened cocoa powder,3/4 teaspoon baking soda,1/4 teaspoon salt,1 cup buttermilk room temperature,1/2 cup vegetable oil,1 large egg,2 teaspoons vanilla extract,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/chocolate-cupcakes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Best Chocolate Peppermint Cookies,Christie Matherne,NA,NA,American,Prep Time 20 minutes mins,Cook Time 15 minutes mins,Total Time 1 hour hr 15 minutes mins,NA,7,14,½ cup butter softened,½ cup brown sugar,½ cup granulated sugar,1 egg,1 teaspoon vanilla extract,1 teaspoon peppermint extract,1½ cups all-purpose flour,½ cup cocoa powder,1 teaspoon baking powder,½ teaspoon salt,2 teaspoons whole milk,½ cup dark chocolate chips,1 cup white chocolate,Baked Bree,https://bakedbree.com/chocolate-peppermint-cookies,¼ cup peppermint candies crushed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irish Potatoes,Bree Hester,4.55, 40 ,"American, Irish",Prep Time 15 minutes mins,NA,Total Time 45 minutes mins,NA,8,6,1/2 stick of butter softened,1/2 brick of cream cheese softened,1 tsp vanilla extract,4 cups confectioner's sugar,2 1/2 cups sweetened coconut,2 tbsp cinnamon,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/irish-potatoes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Best Cream Cheese Frosting Recipe,Diane Goodman,NA,NA,American,Prep Time 10 minutes mins,NA,Total Time 10 minutes mins,NA,4,5,"1/2 cup unsalted butter 1 stick, softened to room temperature",8 ounces cream cheese softened to room temperature (use brick-style for best results),1 teaspoon pure vanilla extract,1/4 teaspoon salt to balance the sweetness,4 cups powdered sugar sifted,NA,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/cream-cheese-frosting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Buttercream Frosting,Diane Goodman,5, 1 ,American,Prep Time 15 minutes mins,NA,Total Time 15 minutes mins,NA,5,6,4 ounces fresh or frozen strawberries quartered (or 1 cup freeze-dried strawberries),1 cup unsalted butter softened to room temperature,4 cups powdered sugar sifted,"1 teaspoon pure vanilla extract optional, but recommended for an extra hint of flavor",1 teaspoon salt,2-4 tablespoons heavy cream or milk use only if opting for freeze-dried strawberries,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/strawberry-buttercream-frosting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Shortbread Cookies,Bree Hester,4.67, 3 ,American,Prep Time 20 minutes mins,Cook Time 15 minutes mins,Total Time 2 hours hrs 35 minutes mins,24 cookies,9,8,1 1/4 cups flour,1/3 cup sugar,2 tablespoons cocoa powder,1/4 teaspoon salt,1/2 cup cold butter,1 tablespoon red food coloring,4 ounces white chocolate melts,1 teaspoon vegetable oil,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/red-velvet-shortbread-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snowflake Fudge,Bree Hester,5, 1 ,American,Prep Time 5 minutes mins,Cook Time 5 minutes mins,Total Time 4 hours hrs 35 minutes mins,48 pieces,6,9,3 cups powdered sugar,1 1/2 cups heavy cream,1 teaspoon salt,2 teaspoons vanilla extract,12 tablespoons unsalted butter,4 1/2 cups mini marshmallows,1 tablespoon orange zest,4 1/2 cups white chocolate chips,"Sprinkles to decorate, optional",NA,NA,NA,NA,Baked Bree,https://bakedbree.com/snowflake-fudge-week-7-of-12-weeks-of-holiday-treats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond Cafe Cookies,Bree Hester,5, 1 ,American,Prep Time 20 minutes mins,Cook Time 18 minutes mins,Total Time 38 minutes mins,NA,7,6,2 packages Pillsbury Ready to Bake sugar cookies,8 ounce tube almond paste,2 tablespoons Smuckers Apricot Preserves,1 cup flour,2 egg whites,1 1/4 cups sliced almonds,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/almond-cafe-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Best Ginger Cookies Ever,Bree Hester,4.54, 13 ,American,Prep Time 20 minutes mins,Cook Time 15 minutes mins,Total Time 1 hour hr 40 minutes mins,NA,8,11,1/2 cup crystallized ginger chopped,3/4 cup granulated sugar divided,6 tablespoons butter room temperature,1/4 cup molasses,1 egg,2 cups flour,2 teaspoons baking soda,1 teaspoon ground ginger,3/4 teaspoon cinnamon,1/2 teaspoon freshly grated nutmeg,1/4 cup sanding sugar for rolling,NA,NA,Baked Bree,https://bakedbree.com/best-ginger-cookies-ever,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spiced Snickerdoodles,Bree Hester,5, 2 ,American,Prep Time 15 minutes mins,Cook Time 20 minutes mins,Total Time 1 hour hr 25 minutes mins,36 cookies,12,17,1 cup unsalted butter at room temperature,1 1/2 cups granulated sugar,2 large eggs,1 teaspoon vanilla bean paste or 1 teaspoon vanilla extract,2 3/4 cups all-purpose flour,1 teaspoon cream of tartar,1/2 teaspoon baking soda,1/4 teaspoon salt,1/2 teaspoon cardamom,1/2 teaspoon cinnamon,1/2 teaspoon allspice,1/4 cup granulated sugar,1 vanilla bean split and seeds scraped—use seeds only,Baked Bree,https://bakedbree.com/spiced-snickerdoodles,1 teaspoon allspice,1/2 teaspoon cardamom,1/2 teaspoon cinnamon,"1 tablespoon sanding sugar gold, another color, or plain",NA,NA,NA,NA,NA,NA,NA
William’s Milk Chocolate Chip Cookies,Bree Hester,5, 2 ,American,Prep Time 10 minutes mins,Cook Time 15 minutes mins,Total Time 25 minutes mins,NA,7,10,1 cup unsalted butter room temperature,1 cup light brown sugar,1/3 cup sugar,2 eggs,2 teaspoons vanilla,2 1/2 cups flour,1 teaspoon baking powder,1 teaspoon baking soda,3/4 teaspoon kosher salt,2 cups milk chocolate chips,NA,NA,NA,Baked Bree,https://bakedbree.com/williams-chocolate-chip-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft Whole Wheat Caramel Chip Cookies,Bree Hester,NA,NA,American,Prep Time 10 minutes mins,Cook Time 12 minutes mins,Total Time 22 minutes mins,NA,4,14,6 Tablespoons butter room temperature,1/3 cup sugar,1/2 cup light brown sugar,3 Tablespoons honey,2 teaspoons vanilla,1/2 teaspoon espresso powder,3/4 teaspoon salt,1 Tablespoon apple cider vinegar,1 egg,1/2 teaspoon baking soda,1/2 teaspoon baking powder,2 cups white whole wheat flour,2 cups chocolate covered caramel chips,Baked Bree,https://bakedbree.com/soft-whole-wheat-caramel-chip-cookies,1 cup semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snickers Cookies,Bree Hester,4.25, 12 ,American,Prep Time 20 minutes mins,Cook Time 15 minutes mins,Total Time 35 minutes mins,NA,6,10,1 cup butter room temperature,3/4 cup brown sugar,3/4 cup sugar,2 eggs,2 teaspoons vanilla,2 2/3 cup flour,1 teaspoon baking soda,1/2 teaspoon baking powder,3/4 teaspoon fine sea salt,1 bag Snickers baking bites or 5 full size Snickers chopped,NA,NA,NA,Baked Bree,https://bakedbree.com/snickers-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Cheesecake Cups,alex,5, 1 ,baking,Prep Time 45 minutes mins,Cook Time 10 minutes mins,Total Time 55 minutes mins,NA,7,19,170 grams brown sugar,20 grams demerara sugar,115 grams butter room temperature,1 egg,1/4 teaspoon vanilla,1/4 teaspoon red gel food color,235 grams flour,15 grams cocoa powder,1/4 teaspoon baking soda,1/2 teaspoon salt,290 grams cream cheese room temperature,60 grams sugar,1 egg,Baked Bree,https://bakedbree.com/red-velvet-cheesecake-cups,1/4 teaspoon vanilla,150 grams butter room temperature,330 grams powdered sugar sifted,1/4 teaspoon vanilla,2 tablespoons Oreo crumbs,2 to 3 tablespoons milk,NA,NA,NA,NA,NA
King Cake Cookies with Praline Pecan,Bree Hester,5, 1 ,baking,Prep Time 20 minutes mins,Cook Time 15 minutes mins,Total Time 35 minutes mins,NA,13,20,1 cup butter room temperature,1 1/4 cup sugar,2 teaspoons cinnamon,3 egg yolks,1 Tablespoon honey,1 teaspoon vanilla,1/2 teaspoon lemon extract,2 1/2 cups flour,1 teaspoon baking powder,1/2 teaspoon salt,1/2 teaspoon cream of tartar,1/4 cup sugar,1 Tablespoon cinnamon,Baked Bree,https://bakedbree.com/king-cake-cookies-with-praline-pecan,1 cup brown sugar,1 cup white sugar,1/2 cup evaporated milk,2 Tablespoons butter,1 1/4 cups pecan halves,1/2 teaspoon vanilla,"yellow green, and purple sprinkles",NA,NA,NA,NA
Chai Latte Marshmallows,Bree Hester,NA,NA,American,Prep Time 45 minutes mins,Cook Time 10 minutes mins,Total Time 7 hours hrs 35 minutes mins,18 marshmallows,16,24,3 black tea bags,3 cinnamon sticks,2 cardamom pods,3 whole cloves,3 allspice berries,1/2 teaspoon ground ginger or a 1-inch piece of fresh ginger,1 cup boiling water,1 1/2 cups powdered sugar,1 cup cornstarch,2 teaspoons ground cinnamon whisk into part of the coating for dusting,4 1/2 teaspoons unflavored powdered gelatin,1/2 cup cold water,3/4 cup granulated sugar,Baked Bree,https://bakedbree.com/chai-latte-marshmallows,"1/2 cup light corn syrup, divided 1/4 cup for the saucepan, 1/4 cup for the mixer",1/4 cup water,Pinch of sea salt,4 1/2 teaspoons unflavored powdered gelatin,1/2 cup chai tea mixture from above,3/4 cup granulated sugar,"6 tablespoons light corn syrup, divided 3 tablespoons for the syrup, 3 tablespoons for the mixer",2 tablespoons honey,1 vanilla pod seeded and scraped,1/4 cup water,Pinch of sea salt
Sunflower Seed Cookies,Bree Hester,4.43, 19 ,American,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Total Time 1 hour hr,36 cookies,8,9,1/2 cup butter room temperature,2 cups brown sugar,2 eggs,2 teaspoons vanilla extract,2 cups all-purpose flour,2 cups old-fashioned oats,1 teaspoon baking soda,1 teaspoon salt,1 1/2 cups raw sunflower seeds,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/sunflower-seed-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Salted Caramel Blondies,Bree Hester,NA,NA,"American, Fall-Inspired, Seasonal Baking",Prep Time 20 minutes mins,Cook Time 40 minutes mins,Total Time 2 hours hrs,9 servings,10,11,1 1/2 cups (Sea Salt And Vanilla Bean Caramel Sauce),2 cups flour,1 teaspoon cinnamon,1/2 teaspoon freshly grated nutmeg,1 teaspoon baking soda,1 teaspoon salt,2 sticks butter at room temperature,1 1/4 cups brown sugar,1 large egg,2 teaspoons vanilla extract,1 cup pumpkin purée,NA,NA,Baked Bree,https://bakedbree.com/pumpkin-salted-caramel-blondies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Homemade Brownies,Bree Hester,4.88, 8 ,American,Prep Time 15 minutes mins,Cook Time 25 minutes mins,Total Time 40 minutes mins,12 brownies,6,7,1 1/4 sticks butter,1 1/4 cups sugar,3/4 cups plus 2 tablespoons cocoa powder,1/4 teaspoon salt,2 teaspoons vanilla,2 eggs,1/2 cup flour,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/easy-homemade-brownies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
